snapped_at,price,market_cap,total_volume
2024-01-01 00:00:00 UTC,0.6135560601066552,33227239217.747364,616827726.7618662
2024-01-02 00:00:00 UTC,0.6296830385207044,34067597078.148033,661012500.8315715
2024-01-03 00:00:00 UTC,0.6278857937694052,33896300818.06638,1269164248.347777
2024-01-04 00:00:00 UTC,0.5824243596025832,31520096364.55559,3221372100.143132
2024-01-05 00:00:00 UTC,0.5872262385238018,31783098111.105236,1370124013.3500652
2024-01-06 00:00:00 UTC,0.5758983864443551,31199856807.520874,1427534945.8785853
2024-01-07 00:00:00 UTC,0.5679216647603572,30806422995.700848,730296367.5768781
2024-01-08 00:00:00 UTC,0.5518039675917262,29872508422.625614,793183141.4119804
2024-01-09 00:00:00 UTC,0.5773960010046552,31333958163.828205,1804275059.111069
2024-01-10 00:00:00 UTC,0.5664177067521137,30702259695.615395,1668935574.776621
2024-01-11 00:00:00 UTC,0.6003499915103494,32552719946.735706,2053266167.3183093
2024-01-12 00:00:00 UTC,0.6014826396867949,32686481870.45415,1896258425.1317127
2024-01-13 00:00:00 UTC,0.5716934604304549,30991395722.789925,1588743949.2654233
2024-01-14 00:00:00 UTC,0.5747834912448581,31184534023.50033,609660987.4222198
2024-01-15 00:00:00 UTC,0.5757120992815301,31352675165.970333,736795892.9222726
2024-01-16 00:00:00 UTC,0.5762027030427425,31281625079.894505,942767404.5824742
2024-01-17 00:00:00 UTC,0.5758358445162653,31266973572.32223,863359605.2521778
2024-01-18 00:00:00 UTC,0.5679004069804041,30862475546.868515,870905515.4804658
2024-01-19 00:00:00 UTC,0.5516545791416465,29979457245.817932,1003771643.4709705
2024-01-20 00:00:00 UTC,0.5439861751074253,29552099640.597588,1306108750.9025135
2024-01-21 00:00:00 UTC,0.552715966960041,30063434426.21837,701395819.4290036
2024-01-22 00:00:00 UTC,0.5467948940837077,29736789962.66174,455234775.9838404
2024-01-23 00:00:00 UTC,0.5254414186122119,28594546539.295776,1113753537.1738207
2024-01-24 00:00:00 UTC,0.5175697937341619,28108890254.080593,1344425271.1267269
2024-01-25 00:00:00 UTC,0.5183638044206802,28186397832.5392,848863444.7099339
2024-01-26 00:00:00 UTC,0.5137858881051207,27948401775.17666,801248680.4470745
2024-01-27 00:00:00 UTC,0.5321126490083735,28883619040.32872,1001801726.7892675
2024-01-28 00:00:00 UTC,0.5300126473861743,28828387671.481407,432074210.76432836
2024-01-29 00:00:00 UTC,0.5240514552654629,28491679136.16416,482417327.8391264
2024-01-30 00:00:00 UTC,0.5352891121547717,29116580266.398678,898684199.256968
2024-01-31 00:00:00 UTC,0.5109143796227651,27762960986.006603,1687151941.8755033
2024-02-01 00:00:00 UTC,0.5027970870235438,27357902166.227016,1304951336.7588465
2024-02-02 00:00:00 UTC,0.5059532334439473,27539880097.46561,968788612.3064966
2024-02-03 00:00:00 UTC,0.5100665858558499,27763092679.51615,937859487.9224348
2024-02-04 00:00:00 UTC,0.5190243989290595,28262461861.712055,781835490.8126463
2024-02-05 00:00:00 UTC,0.5033199225800314,27388976325.720085,500979062.25723946
2024-02-06 00:00:00 UTC,0.5060746613187489,27551907316.754406,822070966.5127578
2024-02-07 00:00:00 UTC,0.5051095087758172,27490148574.66605,789140665.5492569
2024-02-08 00:00:00 UTC,0.513397690638616,27959758262.656006,898286413.1191037
2024-02-09 00:00:00 UTC,0.514070497125211,27996321852.20171,901027524.9214793
2024-02-10 00:00:00 UTC,0.5256892872132635,28667316551.701553,1013315522.8129696
2024-02-11 00:00:00 UTC,0.5238153826465716,28547125060.784267,475064729.1751838
2024-02-12 00:00:00 UTC,0.5258798759142611,28661350039.673046,677665008.2896335
2024-02-13 00:00:00 UTC,0.5321642961374793,28988051593.338234,1032701087.3969544
2024-02-14 00:00:00 UTC,0.5250580324436228,28678136449.237366,1067037730.1200961
2024-02-15 00:00:00 UTC,0.5381650785592706,29342494206.70284,1122372066.1611102
2024-02-16 00:00:00 UTC,0.562670832075339,30716007835.7662,1792274030.0717752
2024-02-17 00:00:00 UTC,0.5651227438068549,30848652580.134792,1463235041.7476432
2024-02-18 00:00:00 UTC,0.549953007159745,30027467151.307167,729929998.3722916
2024-02-19 00:00:00 UTC,0.5569989508396108,30390782339.534477,620418394.6569577
2024-02-20 00:00:00 UTC,0.5623610246980961,30667513674.931725,1049065665.4278859
2024-02-21 00:00:00 UTC,0.5632911734985222,30766809783.279495,1797569762.060696
2024-02-22 00:00:00 UTC,0.5494809981825469,29981336732.4698,1285012003.393539
2024-02-23 00:00:00 UTC,0.5411904079951343,29512677683.297783,1076313133.837322
