snapped_at,price,market_cap,total_volume
2024-01-01 00:00:00 UTC,2279.9410085689606,274292310008.21802,6715146404.608721
2024-01-02 00:00:00 UTC,2350.0262860085095,282101525979.4972,9173151405.888998
2024-01-03 00:00:00 UTC,2360.7821195890947,282763246110.9591,20590257636.09842
2024-01-04 00:00:00 UTC,2211.1708278638766,265547288684.8233,34451776444.05685
2024-01-05 00:00:00 UTC,2270.977439333732,273109328387.3609,18341104523.019344
2024-01-06 00:00:00 UTC,2267.087035484658,271936377917.22253,18739484389.94619
2024-01-07 00:00:00 UTC,2241.5108270042424,269489631471.8874,8619189687.821476
2024-01-08 00:00:00 UTC,2220.151561688879,266240104433.8105,10135753412.671106
2024-01-09 00:00:00 UTC,2331.6603294356382,280315688401.5355,26223624729.10309
2024-01-10 00:00:00 UTC,2341.160624264102,281144258787.4874,21533561122.854744
2024-01-11 00:00:00 UTC,2588.769163919145,310821894359.1542,44008144956.97653
2024-01-12 00:00:00 UTC,2618.3298618964914,315246203688.67664,40605826834.77032
2024-01-13 00:00:00 UTC,2524.5016938912413,302053601477.7291,46082131081.854485
2024-01-14 00:00:00 UTC,2575.9247354333543,309464480794.1958,23318906536.949352
2024-01-15 00:00:00 UTC,2477.9374784307734,298600912656.6915,16820089427.876768
2024-01-16 00:00:00 UTC,2515.3199803936955,302747945005.6386,13348139613.156065
2024-01-17 00:00:00 UTC,2589.4826316304293,311194334965.7176,18488915209.86314
2024-01-18 00:00:00 UTC,2528.3287854519394,303773198603.9342,17068418335.998499
2024-01-19 00:00:00 UTC,2467.3289785137254,296559270703.1602,15098459635.774988
2024-01-20 00:00:00 UTC,2489.6180646533794,299282759814.2279,13514569417.235487
2024-01-21 00:00:00 UTC,2470.2636151036777,296860256191.2496,4996301224.731121
2024-01-22 00:00:00 UTC,2454.909543339834,295225509771.24744,4334792607.360363
2024-01-23 00:00:00 UTC,2307.5870034987734,277803770131.5404,15106296459.023476
2024-01-24 00:00:00 UTC,2241.942776155338,269197026588.32986,17683786156.38525
2024-01-25 00:00:00 UTC,2236.7393130974074,268773564276.82663,10625253854.769924
2024-01-26 00:00:00 UTC,2219.6145274459245,266831912453.99658,9966399827.608324
2024-01-27 00:00:00 UTC,2268.8707315074744,272427889718.48175,10737037817.034204
2024-01-28 00:00:00 UTC,2267.907851752534,272538684736.3818,4896940248.1532755
2024-01-29 00:00:00 UTC,2257.0544646456055,271358148811.48517,6994793950.05812
2024-01-30 00:00:00 UTC,2314.59472753004,278333996261.6204,8669925102.933998
2024-01-31 00:00:00 UTC,2344.001400019654,281132447253.58405,11126446197.799234
2024-02-01 00:00:00 UTC,2282.4858670158414,274484617898.52283,11853310774.419685
2024-02-02 00:00:00 UTC,2301.737299308667,276594158634.78186,9678169139.51159
2024-02-03 00:00:00 UTC,2307.4329984830933,277280144884.45764,7666446064.332116
2024-02-04 00:00:00 UTC,2294.7159248044077,275659236415.4575,4685406125.507428
2024-02-05 00:00:00 UTC,2290.084492877089,275036393714.7881,5694619446.57298
2024-02-06 00:00:00 UTC,2298.669906674278,276235426059.15094,7987582984.0210085
2024-02-07 00:00:00 UTC,2372.7608787345252,285135262492.3447,10525807971.402327
2024-02-08 00:00:00 UTC,2424.0730404652095,291577099200.45905,10632263734.878746
2024-02-09 00:00:00 UTC,2420.9685614791365,291262614487.10425,11000404082.586426
2024-02-10 00:00:00 UTC,2487.8508971967804,299195541764.75714,15268873489.395958
2024-02-11 00:00:00 UTC,2499.4921841564314,300386801746.03735,6350552320.643601
2024-02-12 00:00:00 UTC,2505.076808453919,300920593632.2626,7498249910.857773
