snapped_at,price,market_cap,total_volume
2024-01-01 00:00:00 UTC,164.65777155935612,2985802776.779333,80919003.75853054
2024-01-02 00:00:00 UTC,169.29878322267376,3070843292.0356393,69985672.0269809
2024-01-03 00:00:00 UTC,167.76530636537137,3034073418.9386606,134189197.15199456
2024-01-04 00:00:00 UTC,154.03961215532073,2795898347.921745,137210604.4712846
2024-01-05 00:00:00 UTC,163.48974183007977,2965075887.164428,166842215.3969345
2024-01-06 00:00:00 UTC,155.34940248187772,2813932407.247777,150567343.4101585
2024-01-07 00:00:00 UTC,152.6464991827353,2768268479.6522117,75257799.92996766
2024-01-08 00:00:00 UTC,146.2594460916397,2648783525.8454676,71450269.77065086
2024-01-09 00:00:00 UTC,148.01595446526358,2688192772.9214525,135404975.64466652
2024-01-10 00:00:00 UTC,144.44058282515343,2617780714.3679657,105162302.18713483
2024-01-11 00:00:00 UTC,148.3496127502021,2690462121.453794,120278167.43899077
2024-01-12 00:00:00 UTC,152.08697484007783,2765360905.651173,141234474.72548446
2024-01-13 00:00:00 UTC,151.75463119629092,2754717952.8909416,132901859.72860758
2024-01-14 00:00:00 UTC,155.7213762056569,2822303891.5202065,88895835.37546724
2024-01-15 00:00:00 UTC,153.73129158321444,2795937828.762081,81817446.27297625
2024-01-16 00:00:00 UTC,157.03621708938647,2849611107.736943,109684790.19215515
2024-01-17 00:00:00 UTC,157.3785919600985,2856329395.670747,73275907.95658712
2024-01-18 00:00:00 UTC,157.5400012673579,2859258738.5615945,107085030.81511138
2024-01-19 00:00:00 UTC,153.07882975009232,2774536234.3674126,76559735.07854256
2024-01-20 00:00:00 UTC,158.1408636728362,2863380000.3761754,59498272.00565094
2024-01-21 00:00:00 UTC,156.36412602961488,2840277038.6871066,54681595.489956155
2024-01-22 00:00:00 UTC,157.8454707967652,2863630540.059075,77368813.26759073
2024-01-23 00:00:00 UTC,150.38149484919637,2733651558.509592,82996890.4613441
2024-01-24 00:00:00 UTC,149.97249715561665,2718545992.5156665,73171435.43598893
